"","sample_name","cluster_color","cluster_order","cluster_label","class_color","class_order","class_label","subclass_color","subclass_order","subclass_label","full_genotype_label","donor_sex_label","region_label","cortical_layer_label","cell_type_accession_label","external_donor_name_label"
"F2S4_170510_094_B01","F2S4_170510_094_B01","#BDC123",74,"Exc L6 THEMIS EGR3","#AFCC3D",2,"Glutamatergic","#52FF26",7,"IT",NA,"F","V1C","L6a","CS1910121074","H200.1023"
"F1S4_170517_006_F01","F1S4_170517_006_F01","#00FF34",62,"Exc L2-3 LINC00507 RPL9P17","#AFCC3D",2,"Glutamatergic","#52FF26",7,"IT",NA,"M","V1C","L1","CS1910121062","H200.1030"
"F1S4_170517_038_H01","F1S4_170517_038_H01","#A77B6E",119,"Peri L1-6 MUSTN1","#17994B",3,"Non-neuronal","#992E8E",18,"Pericyte",NA,"M","V1C","L4ab","CS1910121119","H200.1030"
"F1S4_170517_009_E01","F1S4_170517_009_E01","#A6666F",9,"Inh L1 PAX6 CA4","#0066FF",4,"GABAergic","#CC683D",2,"PAX6",NA,"M","V1C","L2","CS1910121009","H200.1030"
"F1S4_170517_020_B01","F1S4_170517_020_B01","#21D587",55,"Exc L2-4 RORB GRIK1","#AFCC3D",2,"Glutamatergic","#63992E",6,"L4 IT",NA,"M","V1C","L3","CS1910121055","H200.1030"
"F1S4_170517_047_F01","F1S4_170517_047_F01","#20D187",59,"Exc L4 RORB CACNG5","#AFCC3D",2,"Glutamatergic","#63992E",6,"L4 IT",NA,"M","V1C","L4c","CS1910121059","H200.1030"
"F1S4_170524_074_E01","F1S4_170524_074_E01","#936052",6,"Inh L5-6 LAMP5 SFTA3","#0066FF",4,"GABAergic","#FF7373",1,"LAMP5",NA,"F","CgG","L5b","CS1910121006","H200.1023"
"F1S4_170524_075_A01","F1S4_170524_075_A01","#14718F",105,"Exc L5 FEZF2 MORN2","#AFCC3D",2,"Glutamatergic","#1FCCCC",11,"L5 ET",NA,"F","CgG","L5b","CS1910121105","H200.1023"
"F1S4_170524_076_B01","F1S4_170524_076_B01","#3CAD5F",108,"Exc L5-6 FEZF2 CYP26B1","#AFCC3D",2,"Glutamatergic","#006B99",12,"L5/6 NP",NA,"F","CgG","L5b","CS1910121108","H200.1023"
"F1S4_170524_076_H01","F1S4_170524_076_H01","#312E27",111,"Astro L1-6 FGFR3 ETNPPL","#17994B",3,"Non-neuronal","#73ABFF",13,"Astrocyte",NA,"F","CgG","L5b","CS1910121111","H200.1023"
"F1S4_170517_023_B01","F1S4_170517_023_B01","#21D587",55,"Exc L2-4 RORB GRIK1","#AFCC3D",2,"Glutamatergic","#63992E",6,"L4 IT",NA,"M","V1C","L3","CS1910121055","H200.1030"
"F1S4_170524_048_H01","F1S4_170524_048_H01","#8BA38D",120,"Micro L1-6 C1QC","#17994B",3,"Non-neuronal","#FF26A8",19,"Microglia",NA,"F","CgG","L2","CS1910121120","H200.1023"
"F1S4_170524_049_G01","F1S4_170524_049_G01","#E79C05",39,"Inh L5-6 SST KLHL14","#0066FF",4,"GABAergic","#FFE500",4,"SST",NA,"F","CgG","L5a","CS1910121039","H200.1023"
"F2S4_170510_098_F01","F2S4_170510_098_F01","#7D45B8",101,"Exc L6 FEZF2 TBCC","#AFCC3D",2,"Glutamatergic","#4DFFC9",10,"L6b",NA,"F","V1C","L6a","CS1910121101","H200.1023"
"F1S4_170517_026_H01","F1S4_170517_026_H01","#2E3E39",114,"OPC L1-6 MYT1","#17994B",3,"Non-neuronal","#3D4BCC",14,"OPC",NA,"M","V1C","L3","CS1910121114","H200.1030"
"F1S4_170517_039_D01","F1S4_170517_039_D01","#24D388",57,"Exc L4 RORB BHLHE22","#AFCC3D",2,"Glutamatergic","#63992E",6,"L4 IT",NA,"M","V1C","L4ab","CS1910121057","H200.1030"
"F1S4_170517_104_H01","F1S4_170517_104_H01","#71AF9A",116,"Oligo L4-6 OPALIN","#17994B",3,"Non-neuronal","#311799",15,"Oligodendrocyte",NA,"M","V1C","L6a","CS1910121116","H200.1030"
"F1S4_170517_106_B01","F1S4_170517_106_B01","#5504EC",88,"Exc L5-6 THEMIS IL7R","#AFCC3D",2,"Glutamatergic","#00CC14",8,"L5/6 IT Car3",NA,"M","V1C","L6a","CS1910121088","H200.1030"
"F2S4_170510_100_D01","F2S4_170510_100_D01","#D270CA",25,"Inh L1-6 VIP RGS16","#0066FF",4,"GABAergic","#996517",3,"VIP",NA,"F","V1C","L6a","CS1910121025","H200.1023"
"F2S4_170510_100_H01","F2S4_170510_100_H01","#71AF9A",116,"Oligo L4-6 OPALIN","#17994B",3,"Non-neuronal","#311799",15,"Oligodendrocyte",NA,"F","V1C","L6a","CS1910121116","H200.1023"
"F2S4_170510_101_B01","F2S4_170510_101_B01","#5504EC",88,"Exc L5-6 THEMIS IL7R","#AFCC3D",2,"Glutamatergic","#00CC14",8,"L5/6 IT Car3",NA,"F","V1C","L6a","CS1910121088","H200.1023"
"F1S4_170517_017_F01","F1S4_170517_017_F01","#21D587",55,"Exc L2-4 RORB GRIK1","#AFCC3D",2,"Glutamatergic","#63992E",6,"L4 IT",NA,"M","V1C","L3","CS1910121055","H200.1030"
"F1S4_170517_041_E01","F1S4_170517_041_E01","#21D587",55,"Exc L2-4 RORB GRIK1","#AFCC3D",2,"Glutamatergic","#63992E",6,"L4 IT",NA,"M","V1C","L4ab","CS1910121055","H200.1030"
"F1S4_170524_080_G01","F1S4_170524_080_G01","#520DBB",90,"Exc L5-6 THEMIS GPR21","#AFCC3D",2,"Glutamatergic","#00CC14",8,"L5/6 IT Car3",NA,"F","CgG","L6","CS1910121090","H200.1023"
"F2S4_170510_102_F01","F2S4_170510_102_F01","#479AB0",92,"Exc L6 FEZF2 VWA2","#AFCC3D",2,"Glutamatergic","#459967",9,"L6 CT",NA,"F","V1C","L6a","CS1910121092","H200.1023"
"F2S4_170510_103_H01","F2S4_170510_103_H01","#71AF9A",116,"Oligo L4-6 OPALIN","#17994B",3,"Non-neuronal","#311799",15,"Oligodendrocyte",NA,"F","V1C","L6a","CS1910121116","H200.1023"
"F1S4_170524_083_D01","F1S4_170524_083_D01","#520DBB",90,"Exc L5-6 THEMIS GPR21","#AFCC3D",2,"Glutamatergic","#00CC14",8,"L5/6 IT Car3",NA,"F","CgG","L6","CS1910121090","H200.1023"
"F1S4_170524_084_C01","F1S4_170524_084_C01","#174ABE",98,"Exc L6 FEZF2 KRT17","#AFCC3D",2,"Glutamatergic","#4DFFC9",10,"L6b",NA,"F","CgG","L6","CS1910121098","H200.1023"
"F1S4_170524_085_E01","F1S4_170524_085_E01","#296B98",95,"Exc L6 FEZF2 CPZ","#AFCC3D",2,"Glutamatergic","#459967",9,"L6 CT",NA,"F","CgG","L6","CS1910121095","H200.1023"
"F1S4_170517_048_E01","F1S4_170517_048_E01","#20D387",60,"Exc L4-5 RORB ASCL1","#AFCC3D",2,"Glutamatergic","#63992E",6,"L4 IT",NA,"M","V1C","L4c","CS1910121060","H200.1030"
"F1S4_170524_002_A01","F1S4_170524_002_A01","#00FF34",62,"Exc L2-3 LINC00507 RPL9P17","#AFCC3D",2,"Glutamatergic","#52FF26",7,"IT",NA,"F","CgG","L1","CS1910121062","H200.1023"
"F1S4_170524_003_D01","F1S4_170524_003_D01","#352D27",112,"Astro L1 FGFR3 MT1G","#17994B",3,"Non-neuronal","#73ABFF",13,"Astrocyte",NA,"F","CgG","L1","CS1910121112","H200.1023"
"F1S4_170524_003_H01","F1S4_170524_003_H01","#A67C72",118,"VLMC L1-3 CYP1B1","#17994B",3,"Non-neuronal","#B65CCC",17,"VLMC",NA,"F","CgG","L1","CS1910121118","H200.1023"
"F1S4_170524_086_E01","F1S4_170524_086_E01","#936052",6,"Inh L5-6 LAMP5 SFTA3","#0066FF",4,"GABAergic","#FF7373",1,"LAMP5",NA,"F","CgG","L6","CS1910121006","H200.1023"
"F1S4_170524_087_C01","F1S4_170524_087_C01","#174ABE",98,"Exc L6 FEZF2 KRT17","#AFCC3D",2,"Glutamatergic","#4DFFC9",10,"L6b",NA,"F","CgG","L6","CS1910121098","H200.1023"
"F1S4_170517_051_H01","F1S4_170517_051_H01","#2E3E39",114,"OPC L1-6 MYT1","#17994B",3,"Non-neuronal","#3D4BCC",14,"OPC",NA,"M","V1C","L4c","CS1910121114","H200.1030"
"F1S4_170517_052_C01","F1S4_170517_052_C01","#24D388",57,"Exc L4 RORB BHLHE22","#AFCC3D",2,"Glutamatergic","#63992E",6,"L4 IT",NA,"M","V1C","L4c","CS1910121057","H200.1030"
"F1S4_170517_052_G01","F1S4_170517_052_G01","#24D388",57,"Exc L4 RORB BHLHE22","#AFCC3D",2,"Glutamatergic","#63992E",6,"L4 IT",NA,"M","V1C","L4c","CS1910121057","H200.1030"
"F1S4_170517_053_A01","F1S4_170517_053_A01","#24D388",57,"Exc L4 RORB BHLHE22","#AFCC3D",2,"Glutamatergic","#63992E",6,"L4 IT",NA,"M","V1C","L4c","CS1910121057","H200.1030"
"F1S4_170517_088_C01","F1S4_170517_088_C01","#5504EC",88,"Exc L5-6 THEMIS IL7R","#AFCC3D",2,"Glutamatergic","#00CC14",8,"L5/6 IT Car3",NA,"M","V1C","L5","CS1910121088","H200.1030"
"F1S4_170524_004_F01","F1S4_170524_004_F01","#312E27",111,"Astro L1-6 FGFR3 ETNPPL","#17994B",3,"Non-neuronal","#73ABFF",13,"Astrocyte",NA,"F","CgG","L1","CS1910121111","H200.1023"
"F1S4_170524_005_G01","F1S4_170524_005_G01","#312E27",111,"Astro L1-6 FGFR3 ETNPPL","#17994B",3,"Non-neuronal","#73ABFF",13,"Astrocyte",NA,"F","CgG","L1","CS1910121111","H200.1023"
"F1S4_170524_088_G01","F1S4_170524_088_G01","#7D45B8",101,"Exc L6 FEZF2 TBCC","#AFCC3D",2,"Glutamatergic","#4DFFC9",10,"L6b",NA,"F","CgG","L6","CS1910121101","H200.1023"
"F1S4_170517_054_B01","F1S4_170517_054_B01","#60958B",84,"Exc L4-5 RORB RPL31P31","#AFCC3D",2,"Glutamatergic","#52FF26",7,"IT",NA,"M","V1C","L4c","CS1910121084","H200.1030"
"F1S4_170524_007_F01","F1S4_170524_007_F01","#A6666F",9,"Inh L1 PAX6 CA4","#0066FF",4,"GABAergic","#CC683D",2,"PAX6",NA,"F","CgG","L1","CS1910121009","H200.1023"
"F1S4_170524_009_D01","F1S4_170524_009_D01","#F1869C",10,"Inh L1 PAX6 GRIP2","#0066FF",4,"GABAergic","#CC683D",2,"PAX6",NA,"F","CgG","L1","CS1910121010","H200.1023"
"F1S4_170524_091_C01","F1S4_170524_091_C01","#CC7E09",43,"Inh L5-6 SST TH","#0066FF",4,"GABAergic","#FFE500",4,"SST",NA,"F","CgG","L6","CS1910121043","H200.1023"
"F2S4_170531_111_D01","F2S4_170531_111_D01","#174ABE",98,"Exc L6 FEZF2 KRT17","#AFCC3D",2,"Glutamatergic","#4DFFC9",10,"L6b",NA,"M","CgG","L6","CS1910121098","H200.1030"
"F1S4_170517_058_H01","F1S4_170517_058_H01","#73B29E",115,"Oligo L4-6 MOBP COL18A1","#17994B",3,"Non-neuronal","#311799",15,"Oligodendrocyte",NA,"M","V1C","L4c","CS1910121115","H200.1030"
"F1S4_170524_010_C01","F1S4_170524_010_C01","#B36C76",15,"Inh L1 ADARB2 ADAM33","#0066FF",4,"GABAergic","#996517",3,"VIP",NA,"F","CgG","L1","CS1910121015","H200.1023"
"F1S4_170524_094_C01","F1S4_170524_094_C01","#184AC1",97,"Exc L6 FEZF2 TBC1D26","#AFCC3D",2,"Glutamatergic","#4DFFC9",10,"L6b",NA,"F","CgG","L6","CS1910121097","H200.1023"
"F1S4_170517_060_A01","F1S4_170517_060_A01","#24D388",57,"Exc L4 RORB BHLHE22","#AFCC3D",2,"Glutamatergic","#63992E",6,"L4 IT",NA,"M","V1C","L4c","CS1910121057","H200.1030"
"F1S4_170517_061_G01","F1S4_170517_061_G01","#20D187",59,"Exc L4 RORB CACNG5","#AFCC3D",2,"Glutamatergic","#63992E",6,"L4 IT",NA,"M","V1C","L4c","CS1910121059","H200.1030"
"F2S4_170531_009_G01","F2S4_170531_009_G01","#CF6EC9",34,"Inh L1-3 VIP ZNF322P1","#0066FF",4,"GABAergic","#996517",3,"VIP",NA,"M","CgG","L1","CS1910121034","H200.1030"
"F2S4_170531_010_C01","F2S4_170531_010_C01","#8B5862",1,"Inh L1 LAMP5 NDNF","#0066FF",4,"GABAergic","#FF7373",1,"LAMP5",NA,"M","CgG","L1","CS1910121001","H200.1030"
"F1S4_170517_065_D01","F1S4_170517_065_D01","#24D388",57,"Exc L4 RORB BHLHE22","#AFCC3D",2,"Glutamatergic","#63992E",6,"L4 IT",NA,"M","V1C","L4c","CS1910121057","H200.1030"
"F1S4_170517_065_E01","F1S4_170517_065_E01","#24D388",57,"Exc L4 RORB BHLHE22","#AFCC3D",2,"Glutamatergic","#63992E",6,"L4 IT",NA,"M","V1C","L4c","CS1910121057","H200.1030"
"F1S4_170524_051_D01","F1S4_170524_051_D01","#689E7C",87,"Exc L4-5 RORB LCN15","#AFCC3D",2,"Glutamatergic","#52FF26",7,"IT",NA,"F","CgG","L5a","CS1910121087","H200.1023"
"F1S4_170524_052_H01","F1S4_170524_052_H01","#312E27",111,"Astro L1-6 FGFR3 ETNPPL","#17994B",3,"Non-neuronal","#73ABFF",13,"Astrocyte",NA,"F","CgG","L5a","CS1910121111","H200.1023"
