gene_symbol,feature_is_filtered,feature_name,feature_reference,feature_biotype
ENSG00000005381,FALSE,MPO,NCBITaxon:9606,gene
ENSG00000005421,FALSE,PON1,NCBITaxon:9606,gene
ENSG00000005436,FALSE,GCFC2,NCBITaxon:9606,gene
ENSG00000005448,FALSE,WDR54,NCBITaxon:9606,gene
ENSG00000005469,FALSE,CROT,NCBITaxon:9606,gene
ENSG00000005471,FALSE,ABCB4,NCBITaxon:9606,gene
ENSG00000005483,FALSE,KMT2E,NCBITaxon:9606,gene
ENSG00000005486,FALSE,RHBDD2,NCBITaxon:9606,gene
ENSG00000005513,FALSE,SOX8,NCBITaxon:9606,gene
ENSG00000005700,FALSE,IBTK,NCBITaxon:9606,gene
ENSG00000005801,FALSE,ZNF195,NCBITaxon:9606,gene
ENSG00000005810,FALSE,MYCBP2,NCBITaxon:9606,gene
ENSG00000005812,FALSE,FBXL3,NCBITaxon:9606,gene
ENSG00000005844,FALSE,ITGAL,NCBITaxon:9606,gene
ENSG00000005882,FALSE,PDK2,NCBITaxon:9606,gene
ENSG00000005884,FALSE,ITGA3,NCBITaxon:9606,gene
ENSG00000005889,FALSE,ZFX,NCBITaxon:9606,gene
ENSG00000005893,FALSE,LAMP2,NCBITaxon:9606,gene
ENSG00000005961,FALSE,ITGA2B,NCBITaxon:9606,gene
ENSG00000005981,FALSE,ASB4,NCBITaxon:9606,gene
ENSG00000006007,FALSE,GDE1,NCBITaxon:9606,gene
ENSG00000006015,FALSE,REX1BD,NCBITaxon:9606,gene
ENSG00000006016,FALSE,CRLF1,NCBITaxon:9606,gene
ENSG00000006025,FALSE,OSBPL7,NCBITaxon:9606,gene
ENSG00000006042,FALSE,TMEM98,NCBITaxon:9606,gene
ENSG00000006047,FALSE,YBX2,NCBITaxon:9606,gene
ENSG00000006059,FALSE,KRT33A,NCBITaxon:9606,gene
ENSG00000006062,FALSE,MAP3K14,NCBITaxon:9606,gene
ENSG00000006071,FALSE,ABCC8,NCBITaxon:9606,gene
ENSG00000006116,FALSE,CACNG3,NCBITaxon:9606,gene
ENSG00000006118,FALSE,TMEM132A,NCBITaxon:9606,gene
ENSG00000006125,FALSE,AP2B1,NCBITaxon:9606,gene
ENSG00000006128,FALSE,TAC1,NCBITaxon:9606,gene
ENSG00000006194,FALSE,ZNF263,NCBITaxon:9606,gene
ENSG00000006210,FALSE,CX3CL1,NCBITaxon:9606,gene
ENSG00000006282,FALSE,SPATA20,NCBITaxon:9606,gene
ENSG00000006283,FALSE,CACNA1G,NCBITaxon:9606,gene
ENSG00000006327,FALSE,TNFRSF12A,NCBITaxon:9606,gene
ENSG00000006377,FALSE,DLX6,NCBITaxon:9606,gene
ENSG00000006432,FALSE,MAP3K9,NCBITaxon:9606,gene
ENSG00000006451,FALSE,RALA,NCBITaxon:9606,gene
ENSG00000006453,FALSE,BAIAP2L1,NCBITaxon:9606,gene
ENSG00000006459,FALSE,KDM7A,NCBITaxon:9606,gene
ENSG00000006468,FALSE,ETV1,NCBITaxon:9606,gene
ENSG00000006530,FALSE,AGK,NCBITaxon:9606,gene
ENSG00000006534,FALSE,ALDH3B1,NCBITaxon:9606,gene
ENSG00000006555,FALSE,TTC22,NCBITaxon:9606,gene
ENSG00000006576,FALSE,PHTF2,NCBITaxon:9606,gene
ENSG00000006606,FALSE,CCL26,NCBITaxon:9606,gene
ENSG00000006607,FALSE,FARP2,NCBITaxon:9606,gene
ENSG00000006611,FALSE,USH1C,NCBITaxon:9606,gene
ENSG00000006625,FALSE,GGCT,NCBITaxon:9606,gene
ENSG00000006634,FALSE,DBF4,NCBITaxon:9606,gene
ENSG00000006638,FALSE,TBXA2R,NCBITaxon:9606,gene
ENSG00000006652,FALSE,IFRD1,NCBITaxon:9606,gene
ENSG00000006659,FALSE,LGALS14,NCBITaxon:9606,gene
ENSG00000006695,FALSE,COX10,NCBITaxon:9606,gene
ENSG00000006704,FALSE,GTF2IRD1,NCBITaxon:9606,gene
ENSG00000006712,FALSE,PAF1,NCBITaxon:9606,gene
ENSG00000006715,FALSE,VPS41,NCBITaxon:9606,gene
ENSG00000006740,FALSE,ARHGAP44,NCBITaxon:9606,gene
ENSG00000006744,FALSE,ELAC2,NCBITaxon:9606,gene
ENSG00000006747,FALSE,SCIN,NCBITaxon:9606,gene
ENSG00000006756,FALSE,ARSD,NCBITaxon:9606,gene
ENSG00000006757,FALSE,PNPLA4,NCBITaxon:9606,gene
ENSG00000006788,FALSE,MYH13,NCBITaxon:9606,gene
ENSG00000006831,FALSE,ADIPOR2,NCBITaxon:9606,gene
ENSG00000006837,FALSE,CDKL3,NCBITaxon:9606,gene
ENSG00000007001,FALSE,UPP2,NCBITaxon:9606,gene
ENSG00000007038,FALSE,PRSS21,NCBITaxon:9606,gene
ENSG00000007047,FALSE,MARK4,NCBITaxon:9606,gene
ENSG00000007062,FALSE,PROM1,NCBITaxon:9606,gene
ENSG00000007080,FALSE,CCDC124,NCBITaxon:9606,gene
ENSG00000007129,FALSE,CEACAM21,NCBITaxon:9606,gene
ENSG00000007168,FALSE,PAFAH1B1,NCBITaxon:9606,gene
ENSG00000007171,FALSE,NOS2,NCBITaxon:9606,gene
ENSG00000007174,FALSE,DNAH9,NCBITaxon:9606,gene
ENSG00000007202,FALSE,KIAA0100,NCBITaxon:9606,gene
ENSG00000007216,FALSE,SLC13A2,NCBITaxon:9606,gene
ENSG00000007237,FALSE,GAS7,NCBITaxon:9606,gene
ENSG00000007255,FALSE,TRAPPC6A,NCBITaxon:9606,gene
ENSG00000007264,FALSE,MATK,NCBITaxon:9606,gene
ENSG00000007306,FALSE,CEACAM7,NCBITaxon:9606,gene
ENSG00000007312,FALSE,CD79B,NCBITaxon:9606,gene
ENSG00000007314,FALSE,SCN4A,NCBITaxon:9606,gene
ENSG00000007341,FALSE,ST7L,NCBITaxon:9606,gene
ENSG00000007350,FALSE,TKTL1,NCBITaxon:9606,gene
ENSG00000007372,FALSE,PAX6,NCBITaxon:9606,gene
ENSG00000007376,FALSE,RPUSD1,NCBITaxon:9606,gene
ENSG00000007384,FALSE,RHBDF1,NCBITaxon:9606,gene
ENSG00000007392,FALSE,LUC7L,NCBITaxon:9606,gene
ENSG00000007402,FALSE,CACNA2D2,NCBITaxon:9606,gene
ENSG00000007516,FALSE,BAIAP3,NCBITaxon:9606,gene
ENSG00000007520,FALSE,TSR3,NCBITaxon:9606,gene
ENSG00000007541,FALSE,PIGQ,NCBITaxon:9606,gene
ENSG00000007545,FALSE,CRAMP1,NCBITaxon:9606,gene
ENSG00000007866,FALSE,TEAD3,NCBITaxon:9606,gene
ENSG00000007908,FALSE,SELE,NCBITaxon:9606,gene
ENSG00000007923,FALSE,DNAJC11,NCBITaxon:9606,gene
ENSG00000007933,FALSE,FMO3,NCBITaxon:9606,gene
ENSG00000007944,FALSE,MYLIP,NCBITaxon:9606,gene
ENSG00000007952,FALSE,NOX1,NCBITaxon:9606,gene
ENSG00000007968,FALSE,E2F2,NCBITaxon:9606,gene
ENSG00000008018,FALSE,PSMB1,NCBITaxon:9606,gene
ENSG00000008056,FALSE,SYN1,NCBITaxon:9606,gene
ENSG00000008083,FALSE,JARID2,NCBITaxon:9606,gene
ENSG00000008086,FALSE,CDKL5,NCBITaxon:9606,gene
ENSG00000008118,FALSE,CAMK1G,NCBITaxon:9606,gene
ENSG00000008128,FALSE,CDK11A,NCBITaxon:9606,gene
ENSG00000008130,FALSE,"NADK",NCBITaxon:9606,gene
ENSG00000008196,FALSE,TFAP2B,NCBITaxon:9606,gene
ENSG00000008197,FALSE,TFAP2D,NCBITaxon:9606,gene
ENSG00000008226,FALSE,DLEC1,NCBITaxon:9606,gene
ENSG00000008256,FALSE,CYTH3,NCBITaxon:9606,gene
ENSG00000008277,FALSE,ADAM22,NCBITaxon:9606,gene
ENSG00000008282,FALSE,SYPL1,NCBITaxon:9606,gene
ENSG00000008283,FALSE,CYB561,NCBITaxon:9606,gene
ENSG00000008294,FALSE,SPAG9,NCBITaxon:9606,gene
ENSG00000008300,FALSE,CELSR3,NCBITaxon:9606,gene
ENSG00000008311,FALSE,AASS,NCBITaxon:9606,gene
ENSG00000008323,FALSE,PLEKHG6,NCBITaxon:9606,gene
ENSG00000008324,FALSE,SS18L2,NCBITaxon:9606,gene
ENSG00000008382,FALSE,MPND,NCBITaxon:9606,gene
ENSG00000008394,FALSE,MGST1,NCBITaxon:9606,gene
ENSG00000008405,FALSE,CRY1,NCBITaxon:9606,gene
ENSG00000008438,FALSE,PGLYRP1,NCBITaxon:9606,gene
ENSG00000008441,FALSE,NFIX,NCBITaxon:9606,gene
ENSG00000008513,FALSE,ST3GAL1,NCBITaxon:9606,gene
ENSG00000008516,FALSE,MMP25,NCBITaxon:9606,gene
ENSG00000008517,FALSE,IL32,NCBITaxon:9606,gene
ENSG00000008710,FALSE,PKD1,NCBITaxon:9606,gene
ENSG00000008735,FALSE,MAPK8IP2,NCBITaxon:9606,gene
ENSG00000008838,FALSE,MED24,NCBITaxon:9606,gene
ENSG00000008853,FALSE,RHOBTB2,NCBITaxon:9606,gene
ENSG00000008869,FALSE,HEATR5B,NCBITaxon:9606,gene
ENSG00000008952,FALSE,SEC62,NCBITaxon:9606,gene
ENSG00000008988,FALSE,RPS20,NCBITaxon:9606,gene
ENSG00000009307,FALSE,CSDE1,NCBITaxon:9606,gene
ENSG00000009335,FALSE,UBE3C,NCBITaxon:9606,gene
ENSG00000009413,FALSE,REV3L,NCBITaxon:9606,gene
ENSG00000009694,FALSE,TENM1,NCBITaxon:9606,gene
ENSG00000009709,FALSE,PAX7,NCBITaxon:9606,gene
ENSG00000009724,FALSE,MASP2,NCBITaxon:9606,gene
ENSG00000009765,FALSE,IYD,NCBITaxon:9606,gene
ENSG00000009780,FALSE,FAM76A,NCBITaxon:9606,gene
ENSG00000009790,FALSE,TRAF3IP3,NCBITaxon:9606,gene
ENSG00000009830,FALSE,POMT2,NCBITaxon:9606,gene
ENSG00000009844,FALSE,VTA1,NCBITaxon:9606,gene
ENSG00000009950,FALSE,MLXIPL,NCBITaxon:9606,gene
ENSG00000009954,FALSE,BAZ1B,NCBITaxon:9606,gene
ENSG00000010017,FALSE,RANBP9,NCBITaxon:9606,gene
ENSG00000010030,FALSE,ETV7,NCBITaxon:9606,gene
ENSG00000010072,FALSE,SPRTN,NCBITaxon:9606,gene
ENSG00000010165,FALSE,EEF1AKNMT,NCBITaxon:9606,gene
ENSG00000010219,FALSE,DYRK4,NCBITaxon:9606,gene
ENSG00000010244,FALSE,ZNF207,NCBITaxon:9606,gene
ENSG00000010256,FALSE,UQCRC1,NCBITaxon:9606,gene
ENSG00000010270,FALSE,STARD3NL,NCBITaxon:9606,gene
ENSG00000010278,FALSE,CD9,NCBITaxon:9606,gene
ENSG00000010282,FALSE,HHATL,NCBITaxon:9606,gene
ENSG00000010292,FALSE,NCAPD2,NCBITaxon:9606,gene
ENSG00000010295,FALSE,IFFO1,NCBITaxon:9606,gene
ENSG00000010310,FALSE,GIPR,NCBITaxon:9606,gene
ENSG00000010318,FALSE,PHF7,NCBITaxon:9606,gene
ENSG00000010319,FALSE,SEMA3G,NCBITaxon:9606,gene
ENSG00000010322,FALSE,NISCH,NCBITaxon:9606,gene
ENSG00000010327,FALSE,STAB1,NCBITaxon:9606,gene
ENSG00000010361,FALSE,FUZ,NCBITaxon:9606,gene
ENSG00000010379,FALSE,SLC6A13,NCBITaxon:9606,gene
ENSG00000010404,FALSE,IDS,NCBITaxon:9606,gene
ENSG00000010438,FALSE,PRSS3,NCBITaxon:9606,gene
ENSG00000010539,FALSE,ZNF200,NCBITaxon:9606,gene
ENSG00000010610,FALSE,CD4,NCBITaxon:9606,gene
ENSG00000010626,FALSE,LRRC23,NCBITaxon:9606,gene
ENSG00000010671,FALSE,BTK,NCBITaxon:9606,gene
ENSG00000010704,FALSE,HFE,NCBITaxon:9606,gene
ENSG00000010803,FALSE,SCMH1,NCBITaxon:9606,gene
